,rho,beta&a&b,phi,sigma,Ifit,nRuns,region,IUQ
1-10,0.8819275113882036,"[ 2.96751976e+02 -4.29155600e-01  1.30178226e+00 -3.50691026e-01
 -7.48174178e-01  5.25481335e-02 -5.98787769e-01  4.83010337e-01
  1.24381830e-01]",0.8182564287838522,0.2870228073177396,1.1700789737057549,1,NSA,1.1008998054592734
1-11,0.918504956675167,"[ 2.97447207e+02 -2.91867242e-01  1.08936029e+00  6.14321811e-01
 -7.80887324e-01 -4.09231353e-02 -9.34139604e-01 -1.38038932e-02
  1.23785556e-01]",0.6690521970994631,0.4080698533673418,1.229700730246338,1,NES,1.0748614902981128
1-12,0.8504995288788483,"[ 2.94607476e+02 -3.53356466e-01  1.32460651e+00  1.49885218e-01
 -8.22392946e-01  2.02536452e-01 -1.72670198e+00  9.12658130e-01
 -6.00160352e-03]",0.5891003369097565,0.6279165323095071,1.2657268728429971,1,SAM,1.1299274667159211
1-13,0.8959922568145215,"[ 2.87359251e+02 -6.84296038e-01  1.39633517e+00  3.72313482e+00
 -2.40036747e-01 -5.77125339e-02  9.14501121e-01  2.04595348e-01
 -2.84556053e-02]",0.6549376927276606,0.2997177713996473,1.0685088501688156,1,SWS,0.9240484851372421
1-14,0.6363999497066541,"[ 2.91157090e+02 -6.59923027e-01  1.39174495e+00  4.78886521e+00
 -7.45733475e-01  9.58618384e-02 -9.53942305e-02  5.91821364e-01
  2.70820352e-02]",0.2944489449138911,0.6085405140056928,1.086846321420472,1,SES,1.0059700970251175
1-15,0.9253568401368928,"[ 2.81551368e+02 -1.41252595e-01  6.97263625e-01  4.62140329e+00
  1.60950994e-01 -1.15773197e-02  1.51360755e+00  2.83191187e-01
  4.68024298e-02]",0.499077975539009,0.3739647832264928,1.0553277600594764,1,SSA,0.9889398339210179
1-16,0.2712074885019596,"[ 2.79002894e+02 -3.62795272e-01  1.00044024e+00 -7.58216699e+00
  6.94885699e-01 -2.53126345e-01 -1.70402774e+00  2.74928156e-01
 -2.05293455e-02]",0.3609485005380345,0.8795624690445554,1.0631724143377863,1,NEU,1.0302862914211355
1-17,0.01,"[ 2.81554565e+02  3.07606181e+00 -2.29236101e+00 -1.11255990e+01
  6.70382174e-01 -2.69550051e-01 -5.68727955e-01  3.04405051e-01
 -3.30267631e-01]",0.3026603484715103,1.3385525827196023,1.1128632537929624,1,WCE,1.0539367049935007
1-18,0.0099999999999999,"[277.17338227   3.48221907  -2.50198647 -16.36622191   0.3295263
  -0.38221277  -0.46301099  -0.4159755   -0.45486492]",0.2925630907257513,2.226491510412418,1.0590132821313198,1,EEU,1.1127182084481426
1-19,0.01,"[ 2.89582346e+02  1.31043826e+00 -5.27386903e-01 -8.64979464e+00
  5.64131660e-01 -1.63558582e-01 -2.34144271e+00  8.66312548e-01
 -1.37834520e-01]",0.4787671158902461,0.505757872175545,1.1882616405209134,1,MED,1.0067322820061988
1-20,0.8478514067515122,"[ 2.96424406e+02  3.61267712e-01  5.70786713e-01 -8.75110857e+00
 -1.52326871e+00 -2.46985620e-01  2.22223142e-01  1.09816504e-01
  3.88410773e-01]",0.4225849855994035,0.7068124022169542,1.1043242940469489,1,SAH,1.0830774287925706
1-21,0.8665759567166929,"[ 2.97974262e+02 -1.18770117e-02  7.39741708e-01 -3.66148680e-01
 -1.06835073e+00 -3.86302214e-01  1.60947372e+00 -2.12813368e-01
  2.13042671e-01]",0.5298302918430757,0.429351822484013,1.1605022247965429,1,WAF,1.0551568422558655
1-22,0.9133717290306106,"[ 2.95338112e+02 -4.58126319e-02  8.11935485e-01 -1.15568912e-01
 -8.15409666e-01 -1.96592409e-01  8.52623252e-01  3.44368121e-01
  5.25919617e-02]",0.6046043834512439,0.3228313427828372,1.0962417101877886,1,CAF,1.075520325784461
1-23,0.0099999999999999,"[ 2.96914860e+02  9.04883975e-01 -2.46679736e-01 -6.06129208e-01
 -9.68291193e-01 -1.61680096e-01  1.45790605e+00  5.12114168e-01
  8.40032938e-02]",0.6025587052830682,0.4581716733395417,1.097394350629505,1,NEAF,1.036404159429604
