,rho,beta0,beta1,beta2,phi,sigma,Ifit,IUQ,nRuns,region
6-53,0.009999999999999995,298.8851729004114,0.19503263884385358,0.3578395207535523,0.1347425249558198,0.3105083829992148,1.0606164368390028,1.0396793942456177,6,ARS
6-54,0.8960194456349266,299.94385076451186,0.06856263418795334,0.47624180900627683,0.1448217024267611,0.25294065587896863,1.0557659470332923,1.0449894164695699,6,BOB
6-55,0.7880145569420558,300.1155081162963,0.07021560245398266,0.4646355835410952,0.035314788981748516,0.2706060779144198,1.0447090941394959,1.123836724641285,6,EIO
6-56,0.9859268959927918,294.9717362422837,0.24171069296186845,0.41805841831350565,0.2932479717896222,0.15205343829309467,1.0576985180126255,1.0068500249744363,6,SIO
6-57,0.964520588457074,276.4715747961481,0.05059452203226409,0.6207316957948141,0.48611391618741356,0.08414519854743974,1.0309115971315257,0.8487297806452665,6,SOO
7-0,0.99,257.52945164975654,1.4485751612413174,-0.8251678961810859,0.38112178057130197,0.6020706590219459,1.0661104486901487,0.9853045877957621,7,GIC
7-1,0.009999999999999995,266.5637617253542,0.09319819615679492,1.164090786629327,0.2433479325114994,0.7671519787288392,1.051425658669107,0.9587317986510532,7,NWN
7-2,0.010000022349727892,262.2192756915611,0.2873174745155352,1.1139995619019079,0.17125355388359534,0.6308790126731867,1.056222595915429,1.0310910883768092,7,NEN
7-3,0.7365956411107322,280.8716528940118,0.6404004043355895,0.28127065903718224,0.04227285097942613,0.5390185078816936,1.0424813146540328,0.9676410401694491,7,WNA
7-4,0.009999999999999995,284.3769783417877,0.7141500797147575,0.19738890220884567,0.09170378446607715,0.6363063992589721,1.055842886787565,1.075536769545675,7,CNA
7-5,0.674405236382626,285.59354778921414,0.3696719239112532,0.4306511904821474,-0.018194804346750193,0.350828937510225,1.056345860390659,0.9875926698006442,7,ENA
7-6,0.8748891464230628,293.1293082185139,0.6298812999599965,0.11164254822742056,0.1571023634125594,0.3077431661465824,1.0756381167794486,1.0489366265779463,7,NCA
7-7,0.8723756509571767,298.51096594636056,0.26649617513677265,0.3375482748296847,0.24465550490552007,0.2721485997667612,1.0667941157714589,1.0754980067550441,7,SCA
7-8,0.010000019721863738,299.07604368154483,0.22685017764584758,0.24781256093553594,0.3275846477985334,0.20545662491234407,1.0754444203352513,1.086824645622476,7,CAR
7-9,0.8435948247845231,293.63233250026775,0.2413947939357614,0.48144329181214846,0.18477080974063964,0.40659632509836713,1.0529706260844613,1.1538745257807634,7,NWS
7-10,0.009999999999999995,296.45432696607116,0.360566812309325,0.4362464051449154,0.24354403539833297,0.3858056804062668,1.0806170804947612,1.2009974082424018,7,NSA
7-11,0.010000194075242943,297.1361197171812,0.5058840806748612,0.19124070525152664,0.2560002405611916,0.3930714828452612,1.0618570193012442,1.0890359990457814,7,NES
7-12,0.009999999999999995,294.4714099331517,0.9356466619124868,-0.04788493380644016,0.21266924731573394,0.4872550795309008,1.0617118936862109,1.122775474897016,7,SAM
7-13,0.9291802908499233,287.1892608015716,0.017347697658000063,0.6754445422912927,0.27133323225045136,0.32007743755735807,1.0436273273817274,1.0719020895858498,7,SWS
7-14,0.9525120817923068,291.5762023963504,-0.029573452982096484,0.8164911007078268,0.20348720856218636,0.26620363296005006,1.0372107415282892,0.9252757341283033,7,SES
7-15,0.9624569108150938,281.5887556419417,-0.04179238714276174,0.6650900724772316,0.07219611616376136,0.2391558546095226,1.0422840096109491,1.0140522042519022,7,SSA
7-16,0.99,278.74998381771445,0.9218404538669291,-0.6546424405935977,0.2380319421811181,0.4210121433859892,1.0523490201239425,0.9337761459564201,7,NEU
7-17,0.009999999999999995,281.5394387999459,0.19744723125359517,0.6490207746433247,0.1472271468252291,0.560928677261366,1.0598189182388498,1.0133854572188272,7,WCE
